Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:42:28,,IR1:60,IR2:60,US:91
TIME:3:42:28,,IR1:30,IR2:75,US:64
TIME:3:42:29,,IR1:75,IR2:60,US:54
TIME:3:42:29,,IR1:60,IR2:75,US:43
TIME:3:42:30,,IR1:60,IR2:75,US:37
TIME:3:42:30,,IR1:75,IR2:75,US:73
TIME:3:42:31,,IR1:60,IR2:75,US:29
TIME:3:42:31,,IR1:90,IR2:75,US:18
TIME:3:42:32,,IR1:75,IR2:75,US:59
TIME:3:42:33,,IR1:75,IR2:75,US:45
TIME:3:42:33,,IR1:15,IR2:75,US:32
TIME:3:42:34,,IR1:15,IR2:75,US:79
TIME:3:42:34,,IR1:120,IR2:60,US:71
TIME:3:42:35,,IR1:60,IR2:60,US:62
TIME:3:42:35,,IR1:30,IR2:75,US:50
TIME:3:42:36,,IR1:15,IR2:75,US:40
TIME:3:42:37,,IR1:30,IR2:75,US:74
TIME:3:42:37,,IR1:60,IR2:60,US:111
TIME:3:42:37,,IR1:75,IR2:90,US:95
TIME:3:42:38,,IR1:105,IR2:90,US:84
TIME:3:42:39,,IR1:75,IR2:75,US:71
TIME:3:42:39,,IR1:75,IR2:60,US:58
TIME:3:42:40,,IR1:60,IR2:75,US:45
TIME:3:42:40,,IR1:45,IR2:60,US:33
TIME:3:42:41,,IR1:45,IR2:75,US:23
TIME:3:42:41,,IR1:15,IR2:60,US:21
TIME:3:42:42,,IR1:60,IR2:75,US:64
TIME:3:42:42,,IR1:75,IR2:75,US:52
TIME:3:42:43,,IR1:30,IR2:90,US:40
TIME:3:42:44,,IR1:45,IR2:75,US:32
TIME:3:42:44,,IR1:90,IR2:75,US:115
TIME:3:42:44,,IR1:105,IR2:75,US:111
TIME:3:42:45,,IR1:60,IR2:75,US:144
TIME:3:42:46,,IR1:105,IR2:75,US:72
TIME:3:42:46,,IR1:75,IR2:90,US:73
TIME:3:42:47,,IR1:75,IR2:90,US:60
TIME:3:42:47,,IR1:75,IR2:75,US:47
TIME:3:42:48,,IR1:15,IR2:75,US:34
TIME:3:42:48,,IR1:15,IR2:60,US:26
TIME:3:42:49,,IR1:0,IR2:45,US:96
TIME:3:42:49,,IR1:60,IR2:60,US:73
TIME:3:42:50,,IR1:75,IR2:60,US:76
TIME:3:42:50,,IR1:105,IR2:75,US:63
TIME:3:42:51,,IR1:45,IR2:75,US:50
TIME:3:42:51,,IR1:90,IR2:75,US:38
TIME:3:42:52,,IR1:45,IR2:75,US:79
TIME:3:42:52,,IR1:60,IR2:75,US:46
TIME:3:42:53,,IR1:75,IR2:90,US:67
TIME:3:42:54,,IR1:105,IR2:60,US:85
TIME:3:42:54,,IR1:60,IR2:75,US:72
TIME:3:42:55,,IR1:60,IR2:75,US:58
TIME:3:42:55,,IR1:60,IR2:60,US:46
TIME:3:42:56,,IR1:90,IR2:90,US:33
TIME:3:42:57,,IR1:15,IR2:60,US:21
TIME:3:42:57,,IR1:60,IR2:75,US:100
TIME:3:42:57,,IR1:15,IR2:75,US:90
TIME:3:42:58,,IR1:90,IR2:60,US:82
TIME:3:42:58,,IR1:75,IR2:75,US:72
TIME:3:42:59,,IR1:75,IR2:60,US:61
TIME:3:42:59,,IR1:75,IR2:75,US:49
TIME:3:43:00,,IR1:60,IR2:75,US:38
TIME:3:43:01,,IR1:30,IR2:75,US:28
TIME:3:43:01,,IR1:15,IR2:60,US:91
TIME:3:43:02,,IR1:60,IR2:75,US:82
TIME:3:43:02,,IR1:60,IR2:60,US:72
TIME:3:43:03,,IR1:120,IR2:75,US:62
TIME:3:43:03,,IR1:60,IR2:75,US:40
TIME:3:43:04,,IR1:60,IR2:75,US:38
TIME:3:43:04,,IR1:60,IR2:60,US:28
TIME:3:43:05,,IR1:45,IR2:75,US:87
TIME:3:43:05,,IR1:30,IR2:60,US:78
TIME:3:43:06,,IR1:60,IR2:60,US:70
TIME:3:43:06,,IR1:75,IR2:75,US:61
TIME:3:43:07,,IR1:75,IR2:75,US:36
TIME:3:43:07,,IR1:60,IR2:75,US:31
TIME:3:43:08,,IR1:30,IR2:75,US:29
TIME:3:43:09,,IR1:60,IR2:75,US:97
TIME:3:43:09,,IR1:90,IR2:75,US:85
TIME:3:43:10,,IR1:60,IR2:75,US:71
TIME:3:43:10,,IR1:30,IR2:75,US:59
TIME:3:43:11,,IR1:75,IR2:75,US:52
TIME:3:43:11,,IR1:60,IR2:60,US:42
TIME:3:43:12,,IR1:90,IR2:75,US:31
TIME:3:43:12,,IR1:60,IR2:60,US:64
TIME:3:43:13,,IR1:75,IR2:60,US:94
TIME:3:43:14,,IR1:75,IR2:60,US:82
TIME:3:43:14,,IR1:60,IR2:90,US:70
TIME:3:43:14,,IR1:45,IR2:60,US:59
TIME:3:43:15,,IR1:15,IR2:75,US:57
TIME:3:43:16,,IR1:45,IR2:60,US:49
TIME:3:43:16,,IR1:90,IR2:75,US:41
TIME:3:43:17,,IR1:60,IR2:75,US:86
