Vl,Vr,S
40,10,58
45,10,49
130,120,400
90,85,194
90,80,117
85,80,120
120,110,293
50,40,37
150,140,400
130,140,400
130,120,400
130,120,400
130,120,400
100,90,180
70,60,168
95,85,154
90,85,142
85,75,131
70,70,119
90,85,110
60,55,68
60,55,57
50,55,46
30,15,33
45,15,57
45,15,64
45,15,62
45,15,40
140,130,400
140,130,400
140,130,400
140,130,400
130,120,400
130,120,400
120,120,400
120,120,400
120,110,400
120,110,400
120,110,400
120,110,400
120,110,400
120,100,400
130,120,400
130,120,400
130,130,400
110,130,400
110,100,400
110,100,400
120,100,400
120,100,400
90,75,189
120,100,400
120,100,400
120,100,400
120,100,400
130,100,400
130,120,400
130,120,400
130,120,400
130,120,400
130,120,400
120,120,400
120,390,400
30,240,51
50,300,87
45,180,75
60,690,68
45,180,57
45,40,50
45,40,74
45,40,24
55,40,14
55,40,50
130,120,400
55,10,140
100,90,152
70,55,68
40,10,51
100,95,196
35,20,46
25,10,400
130,100,400
130,120,199
120,100,133
100,90,106
80,75,104
70,60,99
50,40,93
60,55,188
60,55,72
70,60,62
55,50,78
60,50,68
50,45,61
30,10,45
30,10,35
45,10,30
30,10,35
35,10,23
30,10,19
40,10,59
90,70,144
135,75,400
140,120,400
130,120,400
135,120,400
135,130,400
130,120,400
140,120,400
140,120,400
120,120,400
140,130,400
140,130,400
130,120,400
130,120,400
135,130,400
135,120,400
120,120,400
120,110,400
130,120,400
60,50,70
55,40,76
35,30,74
40,30,43
40,10,29
25,10,18
30,10,34
20,10,16
120,90,400
120,110,400
130,110,400
90,85,104
45,10,35
40,30,28
20,10,28
30,10,27
30,10,25
20,10,54
30,10,22
130,100,400
100,100,221
100,100,85
40,30,73
100,90,208
90,80,140
65,50,71
45,30,50
120,100,400
140,130,400
145,140,400
90,80,207
120,110,191
120,110,400
130,120,146
70,80,70
80,90,97
40,60,41
50,60,30
40,50,73
30,10,69
130,120,269
120,110,400
130,110,400
100,315,208
120,100,400
130,100,400
140,120,400
120,110,400
130,100,164
145,100,182
140,120,400
120,110,400
100,90,221
120,100,400
120,100,400
130,120,400
120,100,400
140,100,400
150,140,400
120,100,400
160,140,172
135,120,400
90,80,147
75,225,140
75,60,119
90,90,92
60,50,96
60,70,96
50,60,81
40,30,71
50,30,64
60,40,69
80,95,121
80,70,113
100,120,248
50,30,65
45,20,52
30,10,45
80,60,102
50,50,89
80,80,93
45,30,110
30,10,41
30,10,24
40,10,15
70,60,65
70,60,66
50,40,63
60,40,65
95,75,101
70,80,75
90,40,83
70,55,81
70,55,99
60,40,66
50,40,79
80,75,100
55,50,57
70,65,77
50,35,67
40,35,53
40,20,66
35,15,51
45,10,62
60,50,52
70,50,81
100,90,134
30,10,52
40,10,67
80,70,63
130,120,400
120,110,400
120,110,400
120,100,400
120,100,400
130,100,400
100,90,339
120,100,322
100,90,307
130,110,293
110,100,226
130,110,400
135,120,400
120,100,400
70,60,132
70,65,123
100,90,400
130,120,400
135,120,400
55,25,50
55,35,45
55,25,32
55,25,26
45,15,15
45,55,400
80,60,336
80,65,311
100,90,250
90,80,118
75,65,98
85,65,87
65,55,66
45,55,56
45,35,47
45,25,39
95,80,338
95,80,112
75,80,89
75,80,76
75,65,68
75,65,59
55,65,51
55,25,36
55,15,22
120,115,321
75,65,196
75,65,165
75,65,155
75,85,126
85,85,100
100,110,120
110,95,125
40,15,33
40,40,54
45,35,52
50,40,90
40,40,65
40,45,42
50,55,78
40,45,54
140,125,400
40,10,30
50,10,24
40,30,45
100,105,152
100,120,352
100,105,120
55,65,75
120,120,321
40,50,65
120,130,400
120,140,400
100,120,400
130,125,400
100,105,247
120,105,302
40,25,25
40,25,26
35,25,36
75,75,85
60,65,76
40,10,10
100,105,225
120,120,302
85,90,120
100,105,145
95,90,125
85,90,120
85,90,120
85,85,122
85,90,145
90,95,189
90,85,258
110,120,325
